Dataset,Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,useClustering,NumCluster(Medoids),Accuracy,PreProcessingTrain Time,Train Time,PreProcessingTest Time,Prediction Time
ECG200,Discords,3,20,20,1,2,False,0.4,True,20,0.74,1.96,3.3,0.29,0.01
ECG200,Discords,3,20,20,1,2,False,0.4,True,20,0.73,1.95,3.13,0.29,0.01
ECG200,Discords,3,20,20,1,2,False,0.4,True,20,0.65,1.95,3.05,0.3,0.01
ECG200,Discords,3,20,20,1,2,False,0.5,True,20,0.7,2.42,4.54,0.43,0.01
ECG200,Discords,3,20,20,1,2,False,0.5,True,20,0.66,2.38,5.76,0.56,0.01
ECG200,Discords,3,20,20,1,2,False,0.5,True,20,0.68,2.38,4.93,0.43,0.02
ECG200,Discords,3,20,20,1,2,False,0.5,True,20,0.72,2.39,5.01,0.43,0.02
ECG200,Discords,3,20,20,1,2,False,0.5,True,20,0.61,2.38,5.79,0.56,0.02
ECG200,Discords,3,20,20,1,2,False,0.6,True,20,0.66,2.89,7.23,0.57,0.01
ECG200,Discords,3,20,20,1,2,False,0.6,True,20,0.68,2.87,5.73,0.43,0.01
ECG200,Discords,3,20,20,1,2,False,0.6,True,20,0.72,2.91,6.19,0.43,0.01
ECG200,Discords,3,20,20,1,2,False,0.6,True,20,0.79,2.86,6.76,0.44,0.02
ECG200,Discords,3,20,20,1,2,False,0.7,True,20,0.71,3.81,9.32,0.6,0.02
ECG200,Discords,3,20,20,1,2,False,0.7,True,20,0.7,3.39,7.68,0.43,0.02
ECG200,Discords,3,20,20,1,2,False,0.7,True,20,0.68,3.31,9.17,0.7,0.02
ECG200,Discords,3,20,20,1,2,False,0.8,True,20,0.65,3.85,8.79,0.57,0.01
ECG200,Discords,3,20,20,1,2,False,0.8,True,20,0.74,3.77,9.69,0.57,0.02
ECG200,Discords,3,20,20,1,2,False,0.9,True,20,0.76,4.26,11.41,0.56,0.01
ECG200,Discords,3,20,20,1,2,False,0.9,True,20,0.73,4.23,11.23,0.56,0.02
